NAME	DESCRIPTION	GENE_SYMBOL	GENE_TITLE	SCORE
DKK1	null	DKK1	dickkopf homolog 1 (Xenopus laevis)	4.289216
ELOVL7	null	ELOVL7	ELOVL family member 7, elongation of long chain fatty acids (yeast)	4.2891126
SYTL5	null	SYTL5	synaptotagmin-like 5	4.2831435
EML1	null	EML1	echinoderm microtubule associated protein like 1	4.2506957
C3ORF57	null	C3ORF57	chromosome 3 open reading frame 57	4.2472153
DLC1	null	DLC1	deleted in liver cancer 1	4.236243
TCHH	null	TCHH	trichohyalin	4.2268496
PPM1E	null	PPM1E	protein phosphatase 1E (PP2C domain containing)	4.224683
PRTFDC1	null	PRTFDC1	phosphoribosyl transferase domain containing 1	4.1803727
CRABP1	null	CRABP1	cellular retinoic acid binding protein 1	4.1765943
ABC1	null	ABC1	-	4.17379
CXCR7	null	CXCR7	chemokine (C-X-C motif) receptor 7	4.158946
SPESP1	null	SPESP1	sperm equatorial segment protein 1	4.158935
EFCBP1	null	EFCBP1	EF-hand calcium binding protein 1	4.1222105
LOC643277 /// LOC647	null	null	null	4.1207643
RBM24	null	RBM24	RNA binding motif protein 24	4.1200643
SULF1	null	SULF1	sulfatase 1	4.1132255
AK7	null	AK7	adenylate kinase 7	4.106975
FBP1	null	FBP1	fructose-1,6-bisphosphatase 1	4.0970435
WISP2	null	WISP2	WNT1 inducible signaling pathway protein 2	4.088593
C10ORF112 /// LOC650	null	null	null	4.0827923
PRMT6	null	PRMT6	protein arginine methyltransferase 6	4.061218
NPNT	null	NPNT	nephronectin	4.0595756
ANXA9	null	ANXA9	annexin A9	4.0310206
SULF2	null	SULF2	sulfatase 2	4.0231833
NRAS	null	NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	4.020967
C1ORF59	null	C1ORF59	chromosome 1 open reading frame 59	4.019085
TFF1	null	TFF1	trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)	3.9903424
KLB	null	KLB	klotho beta	3.9806116
NPY1R	null	NPY1R	neuropeptide Y receptor Y1	3.9702947
GALC	null	GALC	galactosylceramidase	3.9403486
HMCN1	null	HMCN1	hemicentin 1	3.9353626
RP13-102H20.1	null	RP13-102H20.1	-	3.9199057
RASGRP1	null	RASGRP1	RAS guanyl releasing protein 1 (calcium and DAG-regulated)	3.9164374
GDF15	null	GDF15	growth differentiation factor 15	3.8985786
APPBP2	null	APPBP2	amyloid beta precursor protein (cytoplasmic tail) binding protein 2	3.8969939
RPS6KB1	null	RPS6KB1	ribosomal protein S6 kinase, 70kDa, polypeptide 1	3.850848
LIN7A	null	LIN7A	lin-7 homolog A (C. elegans)	3.8316076
ASCL2	null	ASCL2	achaete-scute complex-like 2 (Drosophila)	3.8054442
GPX3	null	GPX3	glutathione peroxidase 3 (plasma)	3.8011649
AGMAT	null	AGMAT	agmatine ureohydrolase (agmatinase)	3.779548
RPIB9	null	RPIB9	-	3.7717426
KRTCAP3	null	KRTCAP3	keratinocyte associated protein 3	3.768493
LOC441453	null	LOC441453	-	3.767962
PCP4	null	PCP4	Purkinje cell protein 4	3.7663624
PDCD6 /// LOC650280	null	null	null	3.7526302
ADCY1	null	ADCY1	adenylate cyclase 1 (brain)	3.7143698
IGSF1	null	IGSF1	immunoglobulin superfamily, member 1	3.6985118
GPR137C	null	GPR137C	G protein-coupled receptor 137C	3.688426
KBTBD8	null	KBTBD8	kelch repeat and BTB (POZ) domain containing 8	3.6874976
RGS22	null	RGS22	regulator of G-protein signalling 22	3.6785047
HDGFRP3	null	HDGFRP3	-	3.6756237
DOC1	null	DOC1	-	3.6560225
CXCL12	null	CXCL12	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	3.6539083
PCDH10	null	PCDH10	protocadherin 10	3.6464984
C19ORF33	null	C19ORF33	chromosome 19 open reading frame 33	3.646184
TM6SF1	null	TM6SF1	transmembrane 6 superfamily member 1	3.642898
NAP1L2	null	NAP1L2	nucleosome assembly protein 1-like 2	3.6352787
APBB2	null	APBB2	amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)	3.6330893
RAB39B	null	RAB39B	RAB39B, member RAS oncogene family	3.6037216
FLJ25076	null	FLJ25076	-	3.59911
CDH1	null	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	3.595632
PRICKLE2	null	PRICKLE2	prickle homolog 2 (Drosophila)	3.5906675
RAD51C	null	RAD51C	RAD51 homolog C (S. cerevisiae)	3.5905082
TESC	null	TESC	tescalcin	3.5593915
TRIM37	null	TRIM37	tripartite motif-containing 37	3.556055
CALCR	null	CALCR	calcitonin receptor	3.532253
INTS2	null	INTS2	integrator complex subunit 2	3.5267346
FLJ10159	null	FLJ10159	-	3.5244489
KIAA0984	null	KIAA0984	-	3.5119054
KCNK2	null	KCNK2	potassium channel, subfamily K, member 2	3.5015974
ARNT2	null	ARNT2	aryl-hydrocarbon receptor nuclear translocator 2	3.4920127
EEF1A2	null	EEF1A2	eukaryotic translation elongation factor 1 alpha 2	3.481599
CXORF50 /// LOC65368	null	null	null	3.471471
CTNND2	null	CTNND2	catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)	3.469643
C14ORF58	null	C14ORF58	chromosome 14 open reading frame 58	3.4678319
METTL7B	null	METTL7B	methyltransferase like 7B	3.4641814
CA4	null	CA4	carbonic anhydrase IV	3.460079
LOC647322	null	null	null	3.4531155
C9ORF66	null	C9ORF66	chromosome 9 open reading frame 66	3.450086
LOC645919	null	null	null	3.4414637
LOC149692	null	LOC149692	-	3.4348466
LOC51136	null	LOC51136	-	3.429516
FLJ21963	null	FLJ21963	-	3.4238749
KYNU	null	KYNU	kynureninase (L-kynurenine hydrolase)	3.4225564
ZSWIM5	null	ZSWIM5	zinc finger, SWIM-type containing 5	3.415634
CYBA	null	CYBA	cytochrome b-245, alpha polypeptide	3.412253
EPHA7	null	EPHA7	EPH receptor A7	3.410633
AQP3	null	AQP3	aquaporin 3 (Gill blood group)	3.4052594
KCNJ8	null	KCNJ8	potassium inwardly-rectifying channel, subfamily J, member 8	3.3922038
LOC51136 /// DHX40P	null	null	null	3.33908
CCDC78	null	CCDC78	coiled-coil domain containing 78	3.3194132
SLC27A6	null	SLC27A6	solute carrier family 27 (fatty acid transporter), member 6	3.310228
SLC6A14	null	SLC6A14	solute carrier family 6 (amino acid transporter), member 14	3.300126
DSCR6	null	DSCR6	Down syndrome critical region gene 6	3.294181
CDH18	null	CDH18	cadherin 18, type 2	3.2797735
MYB	null	MYB	v-myb myeloblastosis viral oncogene homolog (avian)	3.2792716
GPR30	null	GPR30	G protein-coupled receptor 30	3.2657466
IL20	null	IL20	interleukin 20	3.2589734
KRT20	null	KRT20	keratin 20	3.2519822
ASCL1	null	ASCL1	achaete-scute complex-like 1 (Drosophila)	3.2511134
OSR2	null	OSR2	odd-skipped related 2 (Drosophila)	3.2467053
FAM102B	null	FAM102B	family with sequence similarity 102, member B	3.2302592
RGS17	null	RGS17	regulator of G-protein signalling 17	3.2278965
GSTO2	null	GSTO2	glutathione S-transferase omega 2	3.217263
IL17D	null	IL17D	interleukin 17D	3.2170458
IRS1	null	IRS1	insulin receptor substrate 1	3.2120702
C6ORF141	null	C6ORF141	chromosome 6 open reading frame 141	3.204473
ELOVL2	null	ELOVL2	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2	3.201416
CELSR2	null	CELSR2	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)	3.1738513
FLJ32549	null	FLJ32549	-	3.165493
NCAM2	null	NCAM2	neural cell adhesion molecule 2	3.156501
FAM92A1	null	FAM92A1	family with sequence similarity 92, member A1	3.1478865
SOX2	null	SOX2	SRY (sex determining region Y)-box 2	3.14655
FUT8	null	FUT8	fucosyltransferase 8 (alpha (1,6) fucosyltransferase)	3.1414838
SIDT1	null	SIDT1	SID1 transmembrane family, member 1	3.1393414
RET	null	RET	ret proto-oncogene (multiple endocrine neoplasia and medullary thyroid carcinoma 1, Hirschsprung disease)	3.1368148
PREX1	null	PREX1	-	3.1366956
PCDH8	null	PCDH8	protocadherin 8	3.1211534
LOC653193	null	null	null	3.1145282
DSU	null	DSU	-	3.1019323
CHRNA5	null	CHRNA5	cholinergic receptor, nicotinic, alpha 5	3.0956213
HSH2D	null	HSH2D	hematopoietic SH2 domain containing	3.093357
TFPI	null	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	3.0885334
FLJ13137	null	FLJ13137	-	3.085544
SLC27A3	null	SLC27A3	solute carrier family 27 (fatty acid transporter), member 3	3.0717182
SOCS2	null	SOCS2	suppressor of cytokine signaling 2	3.0634701
LYSMD2	null	LYSMD2	LysM, putative peptidoglycan-binding, domain containing 2	3.0623896
ECHDC1	null	ECHDC1	enoyl Coenzyme A hydratase domain containing 1	3.0566466
FREM2	null	FREM2	FRAS1 related extracellular matrix protein 2	3.05423
SANG	null	SANG	-	3.0522733
GDAP1	null	GDAP1	ganglioside-induced differentiation-associated protein 1	3.051811
SYNPO2	null	SYNPO2	synaptopodin 2	3.0448565
LOC440928	null	null	null	3.0421624
BASP1	null	BASP1	brain abundant, membrane attached signal protein 1	3.0364196
SULT2B1	null	SULT2B1	sulfotransferase family, cytosolic, 2B, member 1	3.0297961
LOC144501	null	null	null	3.0287688
LOC645431	null	LOC645431	-	3.0259001
USP32	null	USP32	ubiquitin specific peptidase 32	3.0156856
TMEM30B	null	TMEM30B	transmembrane protein 30B	3.0110438
ALDH5A1	null	ALDH5A1	aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase)	3.0015235
LOC401074	null	LOC401074	-	2.9985926
LY6G5C	null	LY6G5C	lymphocyte antigen 6 complex, locus G5C	2.9969518
COX11 /// COX11P	null	null	null	2.9892182
FZD3	null	FZD3	frizzled homolog 3 (Drosophila)	2.982333
SLC15A2	null	SLC15A2	solute carrier family 15 (H+/peptide transporter), member 2	2.9821074
KCNK15	null	KCNK15	potassium channel, subfamily K, member 15	2.9808774
RGS16	null	RGS16	regulator of G-protein signalling 16	2.9751856
SENP8	null	SENP8	SUMO/sentrin specific peptidase family member 8	2.9652774
LOC344405	null	LOC344405	-	2.947531
BCAS2	null	BCAS2	breast carcinoma amplified sequence 2	2.9391618
MSMB	null	MSMB	microseminoprotein, beta-	2.9383497
FLJ35740	null	FLJ35740	-	2.9345639
GSC	null	GSC	goosecoid	2.933933
NCOA3	null	NCOA3	nuclear receptor coactivator 3	2.9271045
EPHA4	null	EPHA4	EPH receptor A4	2.9259346
SDK1	null	SDK1	sidekick homolog 1 (chicken)	2.9223652
GPR65	null	GPR65	G protein-coupled receptor 65	2.9219527
CCDC74A /// CCDC74B	null	null	null	2.9187706
NBPF1	null	NBPF1	neuroblastoma breakpoint family, member 1	2.9179366
OLFM1	null	OLFM1	olfactomedin 1	2.9147468
EP400NL	null	EP400NL	EP400 N-terminal like	2.912123
PRDM6	null	PRDM6	PR domain containing 6	2.9011438
IGF1R	null	IGF1R	insulin-like growth factor 1 receptor	2.8995328
MPPED2	null	MPPED2	metallophosphoesterase domain containing 2	2.8919294
EMCN	null	EMCN	endomucin	2.8793988
PSMD6	null	PSMD6	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6	2.874585
RKHD3	null	RKHD3	ring finger and KH domain containing 3	2.8725896
EPPK1	null	EPPK1	epiplakin 1	2.8715684
DDX26B	null	DDX26B	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B	2.8706937
DCAMKL1	null	DCAMKL1	doublecortin and CaM kinase-like 1	2.8679316
ZNF516	null	ZNF516	zinc finger protein 516	2.8643916
STATIP1	null	STATIP1	signal transducer and activator of transcription 3 interacting protein 1	2.8529658
ATF7IP2	null	ATF7IP2	activating transcription factor 7 interacting protein 2	2.8501954
SERPINA5	null	SERPINA5	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5	2.8476927
LOC654433	null	LOC654433	-	2.8461308
TUBA3	null	TUBA3	-	2.845779
KCNK6	null	KCNK6	potassium channel, subfamily K, member 6	2.840173
FKBP11	null	FKBP11	FK506 binding protein 11, 19 kDa	2.8331192
ABCA5	null	ABCA5	ATP-binding cassette, sub-family A (ABC1), member 5	2.832686
FLJ10038	null	FLJ10038	-	2.8308353
SLC16A7	null	SLC16A7	solute carrier family 16, member 7 (monocarboxylic acid transporter 2)	2.8264604
EN2	null	EN2	engrailed homolog 2	2.818592
GSTM3	null	GSTM3	glutathione S-transferase M3 (brain)	2.81769
SLCO4C1	null	SLCO4C1	solute carrier organic anion transporter family, member 4C1	2.8175745
SPATA17	null	SPATA17	spermatogenesis associated 17	2.8141994
FOXA1	null	FOXA1	forkhead box A1	2.8134525
HIST2H2BE	null	HIST2H2BE	histone cluster 2, H2be	2.8020477
METRNL /// LOC653506	null	null	null	2.7977192
C7ORF46	null	C7ORF46	chromosome 7 open reading frame 46	2.797538
SLC12A5	null	SLC12A5	solute carrier family 12, (potassium-chloride transporter) member 5	2.7960618
PLCB1	null	PLCB1	phospholipase C, beta 1 (phosphoinositide-specific)	2.7924562
DSCR8	null	DSCR8	Down syndrome critical region gene 8	2.7859175
KIAA1946	null	KIAA1946	KIAA1946	2.7817974
MYO5C	null	MYO5C	myosin VC	2.775413
HEPHL1	null	HEPHL1	hephaestin-like 1	2.7673035
PCDHB16	null	PCDHB16	protocadherin beta 16	2.7600548
EVL	null	EVL	Enah/Vasp-like	2.7589867
TPK1	null	TPK1	thiamin pyrophosphokinase 1	2.7564886
LOC643825	null	LOC643825	-	2.7542236
ZNF595	null	ZNF595	zinc finger protein 595	2.7541835
MICA	null	MICA	MHC class I polypeptide-related sequence A	2.7518547
KLK11	null	KLK11	kallikrein 11	2.7502916
AGR2	null	AGR2	anterior gradient 2 homolog (Xenopus laevis)	2.7502587
MGC18216	null	MGC18216	-	2.749292
ZNF597	null	ZNF597	zinc finger protein 597	2.745447
PHTF1	null	PHTF1	putative homeodomain transcription factor 1	2.7422178
RASD1	null	RASD1	RAS, dexamethasone-induced 1	2.734945
TMEM49	null	TMEM49	transmembrane protein 49	2.7317834
HIST1H3A	null	HIST1H3A	histone cluster 1, H3a	2.7313182
DIRAS2	null	DIRAS2	DIRAS family, GTP-binding RAS-like 2	2.7258463
C9ORF122	null	C9ORF122	chromosome 9 open reading frame 122	2.7214906
OCLN /// LOC647859 /	null	null	null	2.7207224
ALG10	null	ALG10	asparagine-linked glycosylation 10 homolog (yeast, alpha-1,2-glucosyltransferase)	2.7189043
H19	null	H19	H19, imprinted maternally expressed untranslated mRNA	2.7156599
PAP2D	null	PAP2D	-	2.7009294
SLC16A6	null	SLC16A6	solute carrier family 16, member 6 (monocarboxylic acid transporter 7)	2.6911147
LYPD1	null	LYPD1	LY6/PLAUR domain containing 1	2.6862419
LOC643194	null	LOC643194	-	2.6796591
SHH	null	SHH	sonic hedgehog homolog (Drosophila)	2.6765096
GPR143	null	GPR143	G protein-coupled receptor 143	2.6693568
GAN	null	GAN	giant axonal neuropathy (gigaxonin)	2.6633058
DTNA	null	DTNA	dystrobrevin, alpha	2.6609185
CORO1A	null	CORO1A	coronin, actin binding protein, 1A	2.637364
SUSD1	null	SUSD1	sushi domain containing 1	2.6362824
LOC387723 /// LOC651	null	null	null	2.6354055
PMP22	null	PMP22	peripheral myelin protein 22	2.6343138
LOC400099	null	LOC400099	-	2.6320152
ATP2A3	null	ATP2A3	ATPase, Ca++ transporting, ubiquitous	2.6283448
TM7SF2	null	TM7SF2	transmembrane 7 superfamily member 2	2.6281362
NPEPL1	null	NPEPL1	aminopeptidase-like 1	2.625709
DDHD1	null	DDHD1	DDHD domain containing 1	2.6182451
AP4B1	null	AP4B1	adaptor-related protein complex 4, beta 1 subunit	2.6181862
GALNT12	null	GALNT12	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12)	2.6161458
C6ORF211	null	C6ORF211	chromosome 6 open reading frame 211	2.6140068
ZC3H5	null	ZC3H5	zinc finger CCCH-type containing 5	2.6136587
GLS2	null	GLS2	glutaminase 2 (liver, mitochondrial)	2.6133897
DCLRE1B	null	DCLRE1B	DNA cross-link repair 1B (PSO2 homolog, S. cerevisiae)	2.6112099
CHN1	null	CHN1	chimerin (chimaerin) 1	2.6069055
LOC440934	null	LOC440934	-	2.605733
LOC440288	null	LOC440288	-	2.6039116
DENND2D	null	DENND2D	DENN/MADD domain containing 2D	2.6021478
PAPSS2	null	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	2.6018586
MIRN21	null	MIRN21	microRNA 21	2.5961301
GCH1	null	GCH1	GTP cyclohydrolase 1 (dopa-responsive dystonia)	2.5933225
C2ORF15	null	C2ORF15	chromosome 2 open reading frame 15	2.5903616
ZADH1	null	ZADH1	zinc binding alcohol dehydrogenase, domain containing 1	2.589762
PLEKHH2	null	PLEKHH2	pleckstrin homology domain containing, family H (with MyTH4 domain) member 2	2.5891101
ZNF311	null	ZNF311	zinc finger protein 311	2.5869982
NBPF4	null	NBPF4	neuroblastoma breakpoint family, member 4	2.584428
NR2F2	null	NR2F2	nuclear receptor subfamily 2, group F, member 2	2.5808682
ANKRD39	null	ANKRD39	ankyrin repeat domain 39	2.580074
TMEM52	null	TMEM52	transmembrane protein 52	2.579397
NEO1	null	NEO1	neogenin homolog 1 (chicken)	2.5524287
FRAS1	null	FRAS1	Fraser syndrome 1	2.5497468
PDZK1	null	PDZK1	PDZ domain containing 1	2.5477204
PPM1H	null	PPM1H	protein phosphatase 1H (PP2C domain containing)	2.5476298
MBD5	null	MBD5	methyl-CpG binding domain protein 5	2.546609
IGFBP2	null	IGFBP2	insulin-like growth factor binding protein 2, 36kDa	2.5430984
HIPK1	null	HIPK1	homeodomain interacting protein kinase 1	2.5402195
LSP1	null	LSP1	lymphocyte-specific protein 1	2.5400805
KRT19	null	KRT19	keratin 19	2.5336375
PITX2	null	PITX2	paired-like homeodomain transcription factor 2	2.5328684
LOC284570	null	LOC284570	-	2.5325556
RHOF	null	RHOF	ras homolog gene family, member F (in filopodia)	2.5323424
SERPINA3	null	SERPINA3	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	2.5192835
MEST	null	MEST	mesoderm specific transcript homolog (mouse)	2.517138
PRRT3	null	PRRT3	proline-rich transmembrane protein 3	2.5163105
C6ORF96	null	C6ORF96	chromosome 6 open reading frame 96	2.5148728
FLJ13236	null	FLJ13236	-	2.5106666
JPH1	null	JPH1	junctophilin 1	2.5068357
THNSL1	null	THNSL1	threonine synthase-like 1 (bacterial)	2.5000467
MICB	null	MICB	MHC class I polypeptide-related sequence B	2.4991271
GPATC2	null	GPATC2	G patch domain containing 2	2.4987109
N4BP3	null	N4BP3	-	2.4980407
SPATA13	null	SPATA13	spermatogenesis associated 13	2.4944136
ATP11C	null	ATP11C	ATPase, Class VI, type 11C	2.4919267
KRT8	null	KRT8	keratin 8	2.4900386
SNORA72	null	SNORA72	small nucleolar RNA, H/ACA box 72	2.4892914
GALNT4	null	GALNT4	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 4 (GalNAc-T4)	2.484116
FIBCD1	null	FIBCD1	fibrinogen C domain containing 1	2.4803407
SOX3	null	SOX3	SRY (sex determining region Y)-box 3	2.4797978
PROS1	null	PROS1	protein S (alpha)	2.479166
WWOX	null	WWOX	WW domain containing oxidoreductase	2.477406
TLK2	null	TLK2	tousled-like kinase 2	2.4765017
PLEKHH1	null	PLEKHH1	pleckstrin homology domain containing, family H (with MyTH4 domain) member 1	2.4739096
PCDHA9 /// PCDHAC2 /	null	null	null	2.4729261
NR5A2	null	NR5A2	nuclear receptor subfamily 5, group A, member 2	2.471068
SMTNL2	null	SMTNL2	smoothelin-like 2	2.4598498
CCNJ	null	CCNJ	cyclin J	2.459011
LOC220594	null	LOC220594	-	2.455698
ZNF778	null	ZNF778	zinc finger protein 778	2.4533648
RAMP3	null	RAMP3	receptor (calcitonin) activity modifying protein 3	2.4482682
STAP2	null	STAP2	-	2.4434469
UGDH	null	UGDH	UDP-glucose dehydrogenase	2.4433286
DGKE	null	DGKE	diacylglycerol kinase, epsilon 64kDa	2.44219
ARMCX1	null	ARMCX1	armadillo repeat containing, X-linked 1	2.4396646
THOC7	null	THOC7	THO complex 7 homolog (Drosophila)	2.4376807
HIST1H3B	null	HIST1H3B	histone cluster 1, H3b	2.4365838
HECW2	null	HECW2	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2	2.4360445
GNB5	null	GNB5	guanine nucleotide binding protein (G protein), beta 5	2.4327705
KCNN2	null	KCNN2	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2	2.424014
PCSK6	null	PCSK6	proprotein convertase subtilisin/kexin type 6	2.4220343
CYP24A1	null	CYP24A1	cytochrome P450, family 24, subfamily A, polypeptide 1	2.4212523
PFDN4	null	PFDN4	prefoldin subunit 4	2.4204354
BATF	null	BATF	basic leucine zipper transcription factor, ATF-like	2.4082053
SNORA28	null	SNORA28	small nucleolar RNA, H/ACA box 28	2.4057667
LOXL3	null	LOXL3	lysyl oxidase-like 3	2.4043033
LLGL2	null	LLGL2	lethal giant larvae homolog 2 (Drosophila)	2.404
KIF26A	null	KIF26A	kinesin family member 26A	2.4034348
SEMA3B	null	SEMA3B	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	2.4029267
MATN2	null	MATN2	matrilin 2	2.3995938
HMGCLL1	null	HMGCLL1	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase-like 1	2.386657
EPB41L5	null	EPB41L5	erythrocyte membrane protein band 4.1 like 5	2.3756893
NR4A2	null	NR4A2	nuclear receptor subfamily 4, group A, member 2	2.3732393
HS3ST3A1	null	HS3ST3A1	heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1	2.373121
GPR126	null	GPR126	G protein-coupled receptor 126	2.3691308
XK	null	XK	X-linked Kx blood group (McLeod syndrome)	2.368815
CRLF1	null	CRLF1	cytokine receptor-like factor 1	2.3660867
RP3-366L4.2	null	RP3-366L4.2	-	2.3658528
C5ORF25	null	C5ORF25	chromosome 5 open reading frame 25	2.3604505
C20ORF100	null	C20ORF100	chromosome 20 open reading frame 100	2.3528748
CALML4	null	CALML4	calmodulin-like 4	2.3498006
LOC221143	null	LOC221143	-	2.3481495
PODXL	null	PODXL	podocalyxin-like	2.3450413
TUBB6	null	TUBB6	tubulin, beta 6	2.343257
FLJ42957	null	FLJ42957	-	2.3360815
TSGA2	null	TSGA2	testis specific A2 homolog (mouse)	2.3348515
AP4E1	null	AP4E1	adaptor-related protein complex 4, epsilon 1 subunit	2.3248188
DBNDD1	null	DBNDD1	dysbindin (dystrobrevin binding protein 1) domain containing 1	2.317597
ADAM2	null	ADAM2	ADAM metallopeptidase domain 2 (fertilin beta)	2.3170836
TPM3 /// TPM4	null	null	null	2.3155777
ZNF239	null	ZNF239	zinc finger protein 239	2.3134763
CLDN3	null	CLDN3	claudin 3	2.3134027
ANXA3	null	ANXA3	annexin A3	2.3095875
SFXN2	null	SFXN2	sideroflexin 2	2.3089955
ZNF572	null	ZNF572	zinc finger protein 572	2.3037198
SYNGR3	null	SYNGR3	synaptogyrin 3	2.2984102
FOS	null	FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	2.2944248
DNAJC12	null	DNAJC12	DnaJ (Hsp40) homolog, subfamily C, member 12	2.2919743
MARVELD1	null	MARVELD1	MARVEL domain containing 1	2.2905395
SNX10	null	SNX10	sorting nexin 10	2.2905009
MYO1D	null	MYO1D	myosin ID	2.2884111
PTPLA	null	PTPLA	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member A	2.2883363
BMPR1B	null	BMPR1B	bone morphogenetic protein receptor, type IB	2.2878659
IGFBP4	null	IGFBP4	insulin-like growth factor binding protein 4	2.2865214
TANC2	null	TANC2	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2	2.2822742
