NAME	DESCRIPTION	GENE_SYMBOL	GENE_TITLE	SCORE
ZNF677	null	ZNF677	zinc finger protein 677	6.0533996
IRX1	null	IRX1	iroquois homeobox protein 1	6.0402465
LY96	null	LY96	lymphocyte antigen 96	6.0101604
ANKRD20A1 /// ANKRD2	null	null	null	5.9933114
MYL9	null	MYL9	myosin, light chain 9, regulatory	5.978139
HIST1H2AG	null	HIST1H2AG	histone cluster 1, H2ag	5.9630394
PTHR2	null	PTHR2	parathyroid hormone receptor 2	5.954716
C20ORF100	null	C20ORF100	chromosome 20 open reading frame 100	5.942614
CSPG2	null	CSPG2	chondroitin sulfate proteoglycan 2 (versican)	5.922403
MAMDC2	null	MAMDC2	MAM domain containing 2	5.9171696
PTN	null	PTN	pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)	5.901252
C5ORF23	null	C5ORF23	chromosome 5 open reading frame 23	5.896418
TFCP2L1	null	TFCP2L1	transcription factor CP2-like 1	5.8954244
KRT23	null	KRT23	keratin 23 (histone deacetylase inducible)	5.8909974
LOC339535	null	LOC339535	-	5.8676324
TSPYL5	null	TSPYL5	TSPY-like 5	5.86428
TF	null	TF	transferrin	5.8577995
VGLL3	null	VGLL3	vestigial like 3 (Drosophila)	5.849406
GPX7	null	GPX7	glutathione peroxidase 7	5.8436875
EFEMP1	null	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	5.8401775
ZFHX4	null	ZFHX4	zinc finger homeodomain 4	5.831229
OSAP	null	OSAP	-	5.817049
CFI	null	CFI	complement factor I	5.80271
CYYR1	null	CYYR1	cysteine/tyrosine-rich 1	5.7971983
PPP1R3C	null	PPP1R3C	protein phosphatase 1, regulatory (inhibitor) subunit 3C	5.7617326
LRRC34	null	LRRC34	leucine rich repeat containing 34	5.757762
SDC2	null	SDC2	syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	5.7497187
RASL12	null	RASL12	RAS-like, family 12	5.73629
PGCP	null	PGCP	-	5.722081
NEFH	null	NEFH	neurofilament, heavy polypeptide 200kDa	5.721577
TRIM58	null	TRIM58	tripartite motif-containing 58	5.721231
MKX	null	MKX	mohawk homeobox	5.698182
PCDHB8	null	PCDHB8	protocadherin beta 8	5.675573
LBH /// LOC653743	null	null	null	5.672797
S100A2	null	S100A2	S100 calcium binding protein A2	5.6562176
COL4A1	null	COL4A1	collagen, type IV, alpha 1	5.6484475
B4GALT6	null	B4GALT6	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6	5.627115
C9ORF125	null	C9ORF125	chromosome 9 open reading frame 125	5.622747
PTPLAD2	null	PTPLAD2	protein tyrosine phosphatase-like A domain containing 2	5.5994496
RNF150	null	RNF150	ring finger protein 150	5.5953326
SLFN12	null	SLFN12	schlafen family member 12	5.550188
GPX3	null	GPX3	glutathione peroxidase 3 (plasma)	5.5468316
KIAA1324L	null	KIAA1324L	KIAA1324-like	5.5397573
TMEM98	null	TMEM98	transmembrane protein 98	5.521227
LRRTM4	null	LRRTM4	leucine rich repeat transmembrane neuronal 4	5.5089493
BVES	null	BVES	blood vessel epicardial substance	5.506856
FAM7A1	null	FAM7A1	family with sequence similarity 7, member A1	5.489428
CRISPLD2	null	CRISPLD2	cysteine-rich secretory protein LCCL domain containing 2	5.4767337
XIST	null	XIST	X (inactive)-specific transcript	5.417294
TGFB2	null	TGFB2	transforming growth factor, beta 2	5.4034967
CPS1	null	CPS1	carbamoyl-phosphate synthetase 1, mitochondrial	5.4011893
UGT8	null	UGT8	UDP glycosyltransferase 8 (UDP-galactose ceramide galactosyltransferase)	5.395578
CCNA1	null	CCNA1	cyclin A1	5.3784137
NXF2	null	NXF2	nuclear RNA export factor 2	5.3638716
FOXI1	null	FOXI1	forkhead box I1	5.353824
SERPINB5	null	SERPINB5	serpin peptidase inhibitor, clade B (ovalbumin), member 5	5.3415747
MAGEA10	null	MAGEA10	melanoma antigen family A, 10	5.335509
LOC400713	null	LOC400713	-	5.330628
DNM3	null	DNM3	dynamin 3	5.3211656
TRIM49 /// LOC283116	null	null	null	5.31745
FAM101B	null	FAM101B	family with sequence similarity 101, member B	5.3118243
CYP7B1	null	CYP7B1	cytochrome P450, family 7, subfamily B, polypeptide 1	5.303525
GLIPR1	null	GLIPR1	GLI pathogenesis-related 1 (glioma)	5.2961717
MIA	null	MIA	melanoma inhibitory activity	5.2904873
RBP4	null	RBP4	retinol binding protein 4, plasma	5.273062
RARRES1	null	RARRES1	retinoic acid receptor responder (tazarotene induced) 1	5.2684307
LCP1	null	LCP1	lymphocyte cytosolic protein 1 (L-plastin)	5.2667065
ITGB6	null	ITGB6	integrin, beta 6	5.2489657
PCDHB3	null	PCDHB3	protocadherin beta 3	5.2443976
APOE	null	APOE	apolipoprotein E	5.241689
FLJ30428	null	FLJ30428	-	5.238554
LEPREL1	null	LEPREL1	leprecan-like 1	5.211768
MPPED2	null	MPPED2	metallophosphoesterase domain containing 2	5.1923366
FSTL1	null	FSTL1	follistatin-like 1	5.178919
RLN2	null	RLN2	relaxin 2	5.174515
AKAP12	null	AKAP12	A kinase (PRKA) anchor protein (gravin) 12	5.1565175
HOXB6	null	HOXB6	homeobox B6	5.1540356
FZD10	null	FZD10	frizzled homolog 10 (Drosophila)	5.1537256
PON3	null	PON3	paraoxonase 3	5.1468043
DLX2	null	DLX2	distal-less homeobox 2	5.1437564
LOC646903	null	LOC646903	-	5.132514
BEXL1	null	BEXL1	brain expressed X-linked-like 1	5.1216955
RP3-452H17.2	null	RP3-452H17.2	-	5.1173983
LY6K	null	LY6K	lymphocyte antigen 6 complex, locus K	5.1136413
NEXN	null	NEXN	nexilin (F actin binding protein)	5.108609
PTCH1	null	PTCH1	patched homolog 1 (Drosophila)	5.0941987
ZSCAN4	null	ZSCAN4	zinc finger and SCAN domain containing 4	5.0908747
WDR66	null	WDR66	WD repeat domain 66	5.0793095
STXBP5	null	STXBP5	syntaxin binding protein 5 (tomosyn)	5.0685134
DKFZP686A1627	null	DKFZP686A1627	-	5.055878
ITGA4	null	ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	5.0225554
UNC5C	null	UNC5C	unc-5 homolog C (C. elegans)	5.021296
HIST1H3H	null	HIST1H3H	histone cluster 1, H3h	5.0178423
LRAP	null	LRAP	-	5.017738
MGC16291	null	MGC16291	-	5.008632
HIST1H2BJ	null	HIST1H2BJ	histone cluster 1, H2bj	5.0069795
AXL	null	AXL	AXL receptor tyrosine kinase	5.006191
NGFR	null	NGFR	nerve growth factor receptor (TNFR superfamily, member 16)	5.002008
TPM2	null	TPM2	tropomyosin 2 (beta)	4.9994035
GPRIN2	null	GPRIN2	G protein regulated inducer of neurite outgrowth 2	4.995709
MGC9913	null	MGC9913	-	4.9933367
SPG3A	null	SPG3A	spastic paraplegia 3A (autosomal dominant)	4.992485
MFAP2	null	MFAP2	microfibrillar-associated protein 2	4.9603863
DEPDC7	null	DEPDC7	DEP domain containing 7	4.9560204
NXF2 /// LOC650686 /	null	null	null	4.9546494
ARMCX2	null	ARMCX2	armadillo repeat containing, X-linked 2	4.9431396
MAP1B	null	MAP1B	microtubule-associated protein 1B	4.9326806
PTGER2	null	PTGER2	prostaglandin E receptor 2 (subtype EP2), 53kDa	4.92965
MEST	null	MEST	mesoderm specific transcript homolog (mouse)	4.9155555
FXYD6	null	FXYD6	FXYD domain containing ion transport regulator 6	4.9086227
NALP2	null	NALP2	NACHT, leucine rich repeat and PYD containing 2	4.9033723
PCDHB12	null	PCDHB12	protocadherin beta 12	4.8960075
GEM	null	GEM	GTP binding protein overexpressed in skeletal muscle	4.895418
PRG1	null	PRG1	proteoglycan 1, secretory granule	4.8939915
LOC441046	null	LOC441046	-	4.891077
TRAM1L1	null	TRAM1L1	translocation associated membrane protein 1-like 1	4.88471
LOC440905	null	LOC440905	-	4.883427
GJA7	null	GJA7	gap junction protein, alpha 7, 45kDa (connexin 45)	4.873762
CPVL	null	CPVL	carboxypeptidase, vitellogenic-like	4.872804
IGFBP3	null	IGFBP3	insulin-like growth factor binding protein 3	4.8668633
KIAA0565 /// FLJ3649	null	null	null	4.858318
CXCL1	null	CXCL1	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	4.855234
ZNF365	null	ZNF365	zinc finger protein 365	4.8549614
EGF	null	EGF	epidermal growth factor (beta-urogastrone)	4.8362517
LXN	null	LXN	latexin	4.833962
RBMS3	null	RBMS3	RNA binding motif, single stranded interacting protein	4.8325114
IGFBP7	null	IGFBP7	insulin-like growth factor binding protein 7	4.8284965
FGF2	null	FGF2	fibroblast growth factor 2 (basic)	4.8231874
SLC2A12	null	SLC2A12	solute carrier family 2 (facilitated glucose transporter), member 12	4.8195515
TRIM2	null	TRIM2	tripartite motif-containing 2	4.817738
HIST1H2BG	null	HIST1H2BG	histone cluster 1, H2bg	4.817378
SERPING1	null	SERPING1	serpin peptidase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	4.799454
LOC646345	null	null	null	4.79315
CNTN5	null	CNTN5	contactin 5	4.783873
HOXB3	null	HOXB3	homeobox B3	4.783164
ALDH1A3	null	ALDH1A3	aldehyde dehydrogenase 1 family, member A3	4.779137
KIAA1729	null	KIAA1729	-	4.774524
ZDHHC15	null	ZDHHC15	zinc finger, DHHC-type containing 15	4.7741485
BGN /// TSHZ1	null	null	null	4.7712297
KIT	null	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	4.769892
CALML3	null	CALML3	calmodulin-like 3	4.7647166
LOC136157 /// LOC392	null	null	null	4.7571273
PTCHD1	null	PTCHD1	patched domain containing 1	4.7461395
DIRAS3	null	DIRAS3	DIRAS family, GTP-binding RAS-like 3	4.72707
AGBL3	null	AGBL3	ATP/GTP binding protein-like 3	4.7170715
STOX2	null	STOX2	storkhead box 2	4.711469
EFHA2	null	EFHA2	EF-hand domain family, member A2	4.7086234
RGS4	null	RGS4	regulator of G-protein signalling 4	4.7076073
AMDHD1	null	AMDHD1	amidohydrolase domain containing 1	4.70636
LOC203274	null	LOC203274	-	4.70568
PCDHB14	null	PCDHB14	protocadherin beta 14	4.7047167
EFEMP2	null	EFEMP2	EGF-containing fibulin-like extracellular matrix protein 2	4.702159
FLJ25076	null	FLJ25076	-	4.6893845
COL1A1	null	COL1A1	collagen, type I, alpha 1	4.68819
LOC349136	null	null	null	4.686163
LOC283027	null	LOC283027	-	4.6813025
PCDHB11	null	PCDHB11	protocadherin beta 11	4.657868
ZNF711	null	ZNF711	zinc finger protein 711	4.657053
SMARCA1	null	SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	4.6547456
SLC10A4	null	SLC10A4	solute carrier family 10 (sodium/bile acid cotransporter family), member 4	4.649387
CERKL	null	CERKL	ceramide kinase-like	4.636434
GNAL	null	GNAL	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide, olfactory type	4.626497
EVI2A	null	EVI2A	ecotropic viral integration site 2A	4.618961
MLLT11	null	MLLT11	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11	4.614356
RAB34	null	RAB34	RAB34, member RAS oncogene family	4.6098886
KIAA0960	null	KIAA0960	-	4.604492
FN1	null	FN1	fibronectin 1	4.6037164
PDE1C	null	PDE1C	phosphodiesterase 1C, calmodulin-dependent 70kDa	4.6017237
FAT4	null	FAT4	FAT tumor suppressor homolog 4 (Drosophila)	4.598713
HIST1H2AD	null	HIST1H2AD	histone cluster 1, H2ad	4.5969286
GAL	null	GAL	galanin	4.585889
PALM2	null	PALM2	paralemmin 2	4.578045
VIM	null	VIM	vimentin	4.576344
GABRE	null	GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	4.5641804
LOC339260	null	LOC339260	-	4.541359
RYR1	null	RYR1	ryanodine receptor 1 (skeletal)	4.529547
ACADL	null	ACADL	acyl-Coenzyme A dehydrogenase, long chain	4.528916
OLFML2B	null	OLFML2B	olfactomedin-like 2B	4.523257
HTR2A	null	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A	4.521585
MGP	null	MGP	matrix Gla protein	4.518898
CDH11	null	CDH11	cadherin 11, type 2, OB-cadherin (osteoblast)	4.5145006
IFI16	null	IFI16	interferon, gamma-inducible protein 16	4.5107956
TMEM46	null	TMEM46	transmembrane protein 46	4.5058036
KRT81	null	KRT81	keratin 81	4.505663
IL15	null	IL15	interleukin 15	4.492502
CLDN1	null	CLDN1	claudin 1	4.489563
LOC284262	null	LOC284262	-	4.4894342
CXORF6	null	CXORF6	chromosome X open reading frame 6	4.4781914
PRAME	null	PRAME	preferentially expressed antigen in melanoma	4.4711657
PTRF	null	PTRF	polymerase I and transcript release factor	4.4700017
TMEM155	null	TMEM155	transmembrane protein 155	4.4681506
OLFM4	null	OLFM4	olfactomedin 4	4.4536085
TAGLN	null	TAGLN	transgelin	4.4511156
SERPINE2	null	SERPINE2	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2	4.4485407
C6ORF148	null	C6ORF148	chromosome 6 open reading frame 148	4.4484096
LOC572558	null	LOC572558	-	4.4454246
FOXC1	null	FOXC1	forkhead box C1	4.442995
KCNB1	null	KCNB1	potassium voltage-gated channel, Shab-related subfamily, member 1	4.4375453
DLEU2 /// DLEU2L	null	null	null	4.4325495
ICAM2	null	ICAM2	intercellular adhesion molecule 2	4.426051
GIMAP2	null	GIMAP2	GTPase, IMAP family member 2	4.425336
PRAMEF1 /// PRAMEF2	null	null	null	4.419054
DCBLD1	null	DCBLD1	discoidin, CUB and LCCL domain containing 1	4.417519
MX2	null	MX2	myxovirus (influenza virus) resistance 2 (mouse)	4.4117165
CALD1	null	CALD1	caldesmon 1	4.404529
ZNF667	null	ZNF667	zinc finger protein 667	4.3991523
HTR2C	null	HTR2C	5-hydroxytryptamine (serotonin) receptor 2C	4.3989983
ZNF662	null	ZNF662	zinc finger protein 662	4.3953085
PGBD1	null	PGBD1	piggyBac transposable element derived 1	4.381435
ZNF655	null	ZNF655	zinc finger protein 655	4.3653297
GUCY1B3	null	GUCY1B3	guanylate cyclase 1, soluble, beta 3	4.3643665
ANKRD20A1 /// LOC392	null	null	null	4.363691
DSC2	null	DSC2	desmocollin 2	4.3618774
LRP12	null	LRP12	low density lipoprotein-related protein 12	4.3611555
LRRN1	null	LRRN1	leucine rich repeat neuronal 1	4.3589497
LOC374491 /// LOC642	null	null	null	4.3520536
TMEM47	null	TMEM47	transmembrane protein 47	4.3459253
GLT8D2	null	GLT8D2	glycosyltransferase 8 domain containing 2	4.343133
ZNF542	null	ZNF542	zinc finger protein 542	4.3420367
PCDHGA4	null	PCDHGA4	protocadherin gamma subfamily A, 4	4.3412294
DLX1	null	DLX1	distal-less homeobox 1	4.340455
FST	null	FST	follistatin	4.3385673
AKR1B1	null	AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	4.3263702
DKK3	null	DKK3	dickkopf homolog 3 (Xenopus laevis)	4.319983
PCDHB18	null	PCDHB18	protocadherin beta 18 pseudogene	4.3189797
GBP1	null	GBP1	guanylate binding protein 1, interferon-inducible, 67kDa	4.318453
SOSTDC1	null	SOSTDC1	sclerostin domain containing 1	4.318095
LPAAT-THETA	null	LPAAT-THETA	-	4.3174367
COL5A1	null	COL5A1	collagen, type V, alpha 1	4.316747
PRKXP1	null	PRKXP1	protein kinase, X-linked, pseudogene 1	4.31628
PEG3	null	PEG3	paternally expressed 3	4.3111963
ELF5	null	ELF5	E74-like factor 5 (ets domain transcription factor)	4.306066
PKIB	null	PKIB	protein kinase (cAMP-dependent, catalytic) inhibitor beta	4.3048043
WIF1	null	WIF1	WNT inhibitory factor 1	4.2880573
EID3	null	EID3	-	4.27562
SGK	null	SGK	serum/glucocorticoid regulated kinase	4.275568
DSCR6	null	DSCR6	Down syndrome critical region gene 6	4.2728186
SAMD9L	null	SAMD9L	sterile alpha motif domain containing 9-like	4.2685804
MPDZ	null	MPDZ	multiple PDZ domain protein	4.2678614
P2RY5	null	P2RY5	purinergic receptor P2Y, G-protein coupled, 5	4.264975
IGF2BP3	null	IGF2BP3	insulin-like growth factor 2 mRNA binding protein 3	4.261772
NPW	null	NPW	neuropeptide W	4.25883
LOX	null	LOX	lysyl oxidase	4.254182
COL4A2	null	COL4A2	collagen, type IV, alpha 2	4.254011
ARL4C	null	ARL4C	ADP-ribosylation factor-like 4C	4.249055
EPDR1	null	EPDR1	ependymin related protein 1 (zebrafish)	4.2457523
FABP5 /// LOC653327	null	null	null	4.2432017
CMTM7	null	CMTM7	CKLF-like MARVEL transmembrane domain containing 7	4.241252
FGFR2	null	FGFR2	ffer syndrome, Jackson-Weiss syndrome)	4.2322216
NAP1L5	null	NAP1L5	nucleosome assembly protein 1-like 5	4.2318892
SCRG1	null	SCRG1	-	4.2306314
C10ORF39	null	C10ORF39	chromosome 10 open reading frame 39	4.2296047
KIAA1212	null	KIAA1212	KIAA1212	4.226953
FAM79B	null	FAM79B	family with sequence similarity 79, member B	4.2229633
GSPT2	null	GSPT2	G1 to S phase transition 2	4.220856
KCTD14	null	KCTD14	potassium channel tetramerisation domain containing 14	4.2184105
EMR1	null	EMR1	egf-like module containing, mucin-like, hormone receptor-like 1	4.2113457
FLJ14712	null	FLJ14712	-	4.2070045
PLAU	null	PLAU	plasminogen activator, urokinase	4.1997795
PCOLCE2	null	PCOLCE2	procollagen C-endopeptidase enhancer 2	4.1985526
ATP10D	null	ATP10D	ATPase, Class V, type 10D	4.1968393
RGN	null	RGN	regucalcin (senescence marker protein-30)	4.1933765
ACTG2	null	ACTG2	actin, gamma 2, smooth muscle, enteric	4.185367
PABPC5	null	PABPC5	poly(A) binding protein, cytoplasmic 5	4.182553
IFI44	null	IFI44	interferon-induced protein 44	4.1822906
COL6A1	null	COL6A1	collagen, type VI, alpha 1	4.1787996
HCG11	null	HCG11	HLA complex group 11	4.168967
WBP5	null	WBP5	WW domain binding protein 5	4.1441264
MAGI2	null	MAGI2	membrane associated guanylate kinase, WW and PDZ domain containing 2	4.14357
COL15A1	null	COL15A1	collagen, type XV, alpha 1	4.139931
CHI3L1	null	CHI3L1	chitinase 3-like 1 (cartilage glycoprotein-39)	4.1350255
ZNF532	null	ZNF532	zinc finger protein 532	4.1310005
HCG4	null	HCG4	HLA complex group 4	4.129064
HAS2	null	HAS2	hyaluronan synthase 2	4.1283627
LOC169834	null	LOC169834	-	4.1251664
ACTN2	null	ACTN2	actinin, alpha 2	4.124904
STEAP4	null	STEAP4	STEAP family member 4	4.1134105
ZNF483	null	ZNF483	zinc finger protein 483	4.0962205
KLK10	null	KLK10	kallikrein 10	4.094579
ZDHHC2	null	ZDHHC2	zinc finger, DHHC-type containing 2	4.0925226
LOC221711	null	null	null	4.0889416
HIST1H2AE	null	HIST1H2AE	histone cluster 1, H2ae	4.081939
PAPLN	null	PAPLN	papilin, proteoglycan-like sulfated glycoprotein	4.081178
COL16A1	null	COL16A1	collagen, type XVI, alpha 1	4.079928
RCBTB2	null	RCBTB2	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2	4.078489
FZD7	null	FZD7	frizzled homolog 7 (Drosophila)	4.072143
COL11A1	null	COL11A1	collagen, type XI, alpha 1	4.06393
FAS	null	FAS	Fas (TNF receptor superfamily, member 6)	4.063921
NRK	null	NRK	Nik related kinase	4.0564833
GABRP	null	GABRP	gamma-aminobutyric acid (GABA) A receptor, pi	4.0495377
SAMD4A	null	SAMD4A	sterile alpha motif domain containing 4A	4.0483694
FBLIM1	null	FBLIM1	filamin binding LIM protein 1	4.0471053
RSNL2	null	RSNL2	restin-like 2	4.041735
TSPYL3	null	TSPYL3	TSPY-like 3 (pseudogene)	4.0405083
MAF	null	MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	4.0404735
GLB1L	null	GLB1L	galactosidase, beta 1-like	4.038996
SFRP1	null	SFRP1	secreted frizzled-related protein 1	4.0372863
FBP2	null	FBP2	fructose-1,6-bisphosphatase 2	4.036463
FAM13C1	null	FAM13C1	family with sequence similarity 13, member C1	4.028766
DKK1	null	DKK1	dickkopf homolog 1 (Xenopus laevis)	4.024634
RPESP	null	RPESP	-	4.0137587
NIPSNAP3B	null	NIPSNAP3B	nipsnap homolog 3B (C. elegans)	4.009715
PCDHB13	null	PCDHB13	protocadherin beta 13	4.0085177
AKAP2 /// PALM2-AKAP	null	null	null	4.004067
SMAD6	null	SMAD6	SMAD, mothers against DPP homolog 6 (Drosophila)	3.9986987
ITGB8	null	ITGB8	integrin, beta 8	3.9934583
MSN	null	MSN	moesin	3.991893
PLSCR4	null	PLSCR4	phospholipid scramblase 4	3.9791286
SV2A	null	SV2A	synaptic vesicle glycoprotein 2A	3.9751387
CCDC89	null	CCDC89	coiled-coil domain containing 89	3.9726996
GPR87	null	GPR87	G protein-coupled receptor 87	3.966926
IL11	null	IL11	interleukin 11	3.9663792
HSPA2	null	HSPA2	heat shock 70kDa protein 2	3.963663
WWTR1	null	WWTR1	WW domain containing transcription regulator 1	3.960114
IGFBP5	null	IGFBP5	insulin-like growth factor binding protein 5	3.9581246
KRT15	null	KRT15	keratin 15	3.9574528
ELMOD1	null	ELMOD1	ELMO/CED-12 domain containing 1	3.957241
LOC401093	null	LOC401093	-	3.952937
STON1	null	STON1	stonin 1	3.9494734
BGN	null	BGN	biglycan	3.9487603
