pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
Resolution of Sister Chromatid Cohesion	1.51639219967852e-05	0.000286638764815531	0.684363592229608	2.81970489251569	0	86	66336|66977|12442|107995|66442|52276|67629|72415|56150|20877|12615|11799|66468|67849|19053|73804|60411|12534|208628|228421|68014|12236|18817|66934|108000|26886|268697|72155|229841|67052|16319|26931|67203|12235|381318|66570|102920|75786|69736|19357|70385|26932|68549
Mitotic Metaphase and Anaphase	1.42563868613139e-05	0.000286638764815531	0.581025107779547	2.57733805537165	0	136	66336|66977|107995|66442|52276|67629|72415|56150|20877|12615|11799|66468|67849|19053|73804|60411|66156|208628|228421|68014|12236|18817|66934|67141|68612|108000|26886|72155|229841|67052|16319|26931|67203|12235|381318|66570|102920|17463|75786|69736|19357|70385|26932|26440|68549|26444|19179|232987|228769|26445|105988|69928|68097|57296|19170
Mitotic G2-G2/M phases	1.43053330281529e-05	0.000286638764815531	0.471471667365243	2.08634224086368	0	134	15366|12442|12428|19053|20878|13555|12575|20873|18005|72119|12534|22390|18817|227613|13557|268697|12531|67203|74470|72083|29870|17463|75786|76816|22628|22627|231863|17997|26440|19088|26444|103733|19179|17420|228769|219072|26445|57296|14235|19170|67151|66296|12532|26442|19177|230376|16328|225659|66671|78177|23996|101565|16475|71648|22154
Mitotic G1-G1/S phases	1.4856192060851e-05	0.000286638764815531	0.595372246325782	2.51392924562795	0	99	12571|12428|54124|13555|12580|17219|12575|12448|17215|22390|68240|21781|18968|23834|56452|242705|13557|12567|66634|19891|17216|17218|18973|17463|19645|19075|19076|12544|26440|26444|59001|19179|12579|17420|228769|26445|11651|57296|19170|17220|50793|18392|67151|70024|12447|26442|19177
RHO GTPases Activate Formins	1.51048275028699e-05	0.000286638764815531	0.635473718551758	2.6296972597589	0	88	66336|66977|107995|66442|52276|67629|72415|56150|20877|12615|11799|66468|19053|73804|60411|208628|228421|68014|12236|18817|66934|108000|26886|72155|229841|67052|16319|26931|67203|18645|12235|381318|66570|102920|75786|69736|70385|26932|68549|232987|11853|69928|68097
HDR through Homologous Recombination (HRR)	1.60934708788644e-05	0.000286638764815531	0.622362248611522	2.31995999391803	0	50	19361|12649|19363|69263|268465|12189|237911|68240|72151|19362|106344|26909|17535|327762|19891|27015|19687|225182|18972|80905|224008|69745|18538|235559|12144
HDR through Homologous Recombination (HR) or Single Strand Annealing (SSA)	1.57351460221551e-05	0.000286638764815531	0.609449952161245	2.36129533334068	0	61	19361|12428|12649|19363|69263|268465|12189|237911|68240|269582|72151|66131|19362|106344|26909|17535|327762|19891|27015|19687|225182|18972|80905|224008|69745|18538|235559|12144
Neutrophil degranulation	1.26847212532505e-05	0.000286638764815531	0.430524881107163	2.10698923395146	0	306	11676|14190|53381|12306|20430|12505|20719|14824|16592|20527|231507|19271|18648|15442|110095|18746|13244|20195|18950|11501|16410|27357|66848|72157|227753|66934|227613|70152|11674|16854|18641|64138|69537|18600|17319|14127|17064|16970|11886|69981|14751|66508|22330|21946|11605|12359|13350|544963|17463|19340|11783|66222|20409|20932|77559|14569|12491|11881|54672|245828|71665|241633|69550|15926|20619|18813|57437|14590|16423|14667|50917|11821|13010|19170|73690|12238|63986|109754|223978|102595|16784|11571|67512|13030|69189|11984|14387|14131|12091|110173|12182|26442|22320|76763|19177|20708|231887|17025
Assembly of the pre-replicative complex	1.60243570226745e-05	0.000286638764815531	0.596394454129763	2.23989176376976	0	52	57441|13555|17219|17215|23834|56452|242705|13557|66634|17216|17218|17463|26440|26444|19179|228769|26445|57296|19170|17220|50793|18392|67151|26442|19177
M/G1 Transition	1.55183116076971e-05	0.000286638764815531	0.601001136067378	2.37768049136373	0	68	57441|13555|17219|17215|68240|18968|23834|56452|242705|13557|66634|19891|17216|17218|18973|17463|19075|19076|12544|26440|26444|59001|19179|228769|26445|57296|19170|17220|50793|18392|67151|70024|26442|19177
Mitotic Prometaphase	1.41236953236445e-05	0.000286638764815531	0.59010532254131	2.64755597427557	0	148	66336|66977|12442|107995|66442|52276|54392|215387|67629|72415|56150|20877|12615|11799|66468|67849|19053|73804|60411|14211|20873|18005|12534|208628|228421|68014|12236|18817|66934|227613|68298|108000|26886|268697|72155|229841|67052|16319|26931|67203|12235|74470|72083|381318|66570|102920|75786|69736|19357|76816|70385|22628|22627|26932|17997|68549|19088|103733|232987|219072|69928|68097
Mitotic Anaphase	1.42753137000186e-05	0.000286638764815531	0.577295169342509	2.55796081643248	0	135	66336|66977|107995|66442|52276|67629|72415|56150|20877|12615|11799|66468|67849|19053|73804|60411|66156|208628|228421|68014|12236|18817|66934|68612|108000|26886|72155|229841|67052|16319|26931|67203|12235|381318|66570|102920|17463|75786|69736|19357|70385|26932|26440|68549|26444|19179|232987|228769|26445|105988|69928|68097|57296|19170
M Phase	1.31185391194837e-05	0.000286638764815531	0.50801612112241	2.42753929629822	0	242	66336|66977|12442|107995|66442|52276|54392|215387|67629|72415|56150|20877|67121|12615|11799|66468|67849|19053|73804|76044|60411|14211|20873|18005|12534|66156|208628|228421|68014|19348|12236|18817|66934|227613|67141|68612|68298|108000|18141|223921|26886|72787|268697|72155|229841|67052|16319|26931|67203|12235|74470|72083|381318|66570|102920|17463|75786|19645|26417|69736|19357|76816|70385|22628|22627|52683|26932|17997|26440|68549|19088|269113|26444|19324|103733|19179|232987|228769|219072|26445|105988|69928|68097|57296|19170
Activation of the pre-replicative complex	1.69500144075122e-05	0.000286638764815531	0.705706154292045	2.35158338722193	0	30	17219|17215|68240|18968|23834|56452|66634|19891|17216|17218|18973|19075|19076|12544|59001|17220|50793|18392|70024
DNA Replication Pre-Initiation	1.55183116076971e-05	0.000286638764815531	0.601001136067378	2.37768049136373	0	68	57441|13555|17219|17215|68240|18968|23834|56452|242705|13557|66634|19891|17216|17218|18973|17463|19075|19076|12544|26440|26444|59001|19179|228769|26445|57296|19170|17220|50793|18392|67151|70024|26442|19177
Lagging Strand Synthesis	1.75852002954314e-05	0.000286638764815531	0.760367665936474	2.30029745117394	0	20	69263|68240|72151|18968|106344|327762|19891|19687|16881|19075|19076|18972|69745|18538|14156|18971|19718|18969
DNA strand elongation	1.72917639328388e-05	0.000286638764815531	0.762794456750468	2.41468087712378	0	24	69270|69263|68240|72151|18968|272551|106344|327762|19891|19687|16881|19075|19076|18972|69745|18538|109145|14156|18971|19718
G1/S Transition	1.52443672063173e-05	0.000286638764815531	0.596068657905871	2.43334465888122	0	81	12428|54124|17219|12575|12448|17215|22390|68240|18968|23834|56452|12567|66634|19891|17216|17218|18973|17463|19645|19075|19076|12544|26440|26444|59001|19179|17420|228769|26445|11651|57296|19170|17220|50793|18392|67151|70024|12447|26442|19177
Synthesis of DNA	1.52443672063173e-05	0.000286638764815531	0.646996696043845	2.6412493489646	0	81	12428|17219|69270|12575|69263|17215|68240|72151|18968|272551|23834|106344|56452|56371|327762|66634|19891|17216|19687|17218|18973|16881|17463|19645|19075|19076|18972|26440|26444|59001|19179|228769|26445|69745|18538|57296|19170|17220|50793|18392|67151|109145|14156|26442|19177|18971|19718
S Phase	1.47710487444609e-05	0.000286638764815531	0.621322096040383	2.64153859097799	0	103	12428|54124|67849|17219|69270|12575|69263|12448|71988|17215|22390|68240|72151|18968|272551|23834|106344|56452|56371|327762|12567|66634|19891|17216|19687|17218|18973|16881|17463|19645|19075|19357|19076|18972|26440|26444|59001|19179|17420|228769|26445|69745|18538|57296|19170|17220|50793|18392|67151|109145|12447|14156|26442|19177|18971|66671|19718
G2/M Transition	1.43381509520532e-05	0.000286638764815531	0.458989938391705	2.02635513619658	0	132	15366|12442|12428|19053|20878|12575|20873|18005|72119|12534|22390|18817|227613|268697|12531|67203|74470|72083|29870|17463|75786|76816|22628|22627|231863|17997|26440|19088|26444|103733|19179|17420|228769|219072|26445|57296|14235|19170|67151|66296|12532|26442|19177|230376|16328|225659|66671|78177|23996|101565|16475|71648|22154
Cell Cycle Mitotic	1.24540755962389e-05	0.000286638764815531	0.557031795628083	2.75848090228229	0	346	66336|66977|15366|12442|107995|66442|12571|12428|52276|54392|215387|67629|54124|72415|56150|57441|20877|67121|12615|11799|66468|67849|19053|73804|76044|20878|13555|60411|12580|17219|69270|12575|69263|12448|14211|20873|18005|72119|71988|17215|12534|66156|208628|22390|68240|228421|68014|19348|12236|72151|18817|21781|18968|66934|272551|227613|67141|68612|68298|108000|23834|106344|56452|242705|18141|223921|26886|13557|72787|268697|72155|56371|12531|327762|12567|229841|67052|16319|66634|26931|67203|12235|19891|74470|72083|381318|66570|17216|19687|17218|102920|29870|18973|16881|17463|75786|19645|19075|26417|69736|19357|76816|70385|22628|22627|52683|19076|18972|231863|26932|12544|17997|26440|68549|19088|269113|26444|19324|103733|59001|19179|12579|232987|17420|228769|219072|26445|105988|69745|18538|69928|11651|68097|57296|14235|19170|17220|50793|18392|236930|67151|70024|59126|66296|109145|71819|67733|12447|75430|12532|14156|26442|19177|230376
Removal of licensing factors from origins	1.59263565274172e-05	0.000286638764815531	0.612852040371656	2.32791389197134	0	55	12428|57441|17219|12575|17215|23834|56452|56371|66634|17216|17218|17463|19645|26440|26444|19179|228769|26445|57296|19170|17220|50793|18392|67151|70024|26442|19177
Regulation of DNA replication	1.58252888115208e-05	0.000286638764815531	0.63729255944981	2.44563716115616	0	58	12428|57441|13555|17219|12575|17215|23834|56452|242705|13557|56371|66634|17216|17218|17463|19645|26440|26444|19179|228769|26445|57296|19170|17220|50793|18392|67151|70024|26442|19177
DNA Replication	1.50941117869919e-05	0.000286638764815531	0.659085274019889	2.73200164398565	0	89	12428|57441|13555|17219|69270|12575|69263|17215|68240|72151|18968|272551|23834|106344|56452|242705|13557|56371|327762|66634|19891|17216|19687|17218|18973|16881|17463|19645|19075|19076|18972|12544|26440|26444|59001|19179|228769|26445|69745|18538|57296|19170|17220|50793|18392|67151|70024|109145|14156|26442|19177
G2/M Checkpoints	1.47310117258853e-05	0.000286638764815531	0.567466230508565	2.42267540277476	0	106     12442|12649|15270|17219|69263|12189|17215|12534|237911|22390|68240|269582|72151|23834|106344|56452|26909|268697|17535|107823|327762|66634|19891|17216|17218|29870|17463|22628|225182|22627|12544|26440|26444|107976|19179|228769|26445|235559|57296|19170|17220|12144|50793|18392|67151|70024|50883|12532|26442|19177
Mitotic Spindle Checkpoint	1.51263046437755e-05	0.000286638764815531	0.661319568967316	2.73135413789256	0	87	66336|66977|107995|66442|52276|67629|72415|56150|20877|12615|11799|66468|19053|73804|60411|66156|208628|228421|68014|12236|18817|66934|68612|108000|26886|72155|229841|67052|16319|26931|67203|12235|381318|66570|102920|75786|69736|70385|26932|68549
Cell Cycle Checkpoints	1.35124179120612e-05	0.000286638764815531	0.61587658256032	2.87762832284152	0	200    66336|66977|12442|107995|66442|12428|52276|67629|12649|72415|56150|20877|12615|11799|66468|19053|73804|15270|60411|17219|12575|69263|12448|12189|17215|12534|66156|208628|237911|22390|68240|228421|68014|269582|12236|72151|18817|66934|68612|108000|23834|106344|56452|26886|26909|268697|72155|17535|107823|327762|229841|67052|16319|66634|26931|67203|12235|19891|381318|66570|17216|17218|102920|29870|17463|75786|69736|70385|22628|225182|22627|26932|12544|26440|68549|26444|107976|19179|232987|228769|26445|69928|235559|68097|57296|19170|17246|17220|12144|50793|18392|236930|67151|70024|67733|50883|12447|75430|12532|26442|19177
Metabolism of carbohydrates	1.3880791760362e-05	0.000286638764815531	0.465109103869443	2.12229822954281	0	167   11676|21991|15366|58250|12505|18648|15442|110095|18563|269941|15277|18655|14635|18746|20525|56421|27357|72157|74185|20322|11674|66171|18141|223921|18641|72787|20443|26384|14733|110208|13358|56375|14751|20444|69736|67880|77559|11881|17160|269113|21881|20971|14718|15275|66646|50917|231727|433182|74551|70484|56398|67863|14387|54371|12091|53374|110173
Chromosome Maintenance	1.61415289256198e-05	0.000286638764815531	0.685480045412183	2.54425960850141	0	49    66336|66311|12615|60411|69263|68240|72151|18968|217653|106344|26886|72155|327762|19891|66570|19687|102920|18973|16881|19075|70645|19076|18972|59001|69745|18538|69928|67733|14156|245688|18971|19718|66578|381280|18969|56505
APC/C-mediated degradation of cell cycle proteins	3.12153704484088e-05	0.000443106667056311	0.575417994621437	2.25797301231534	1	65	107995|12428|56150|20877|20878|12575|18005|12534|66156|12236|18817|67141|68612|268697|56371|17463|26440|26444|19179|228769|26445|57296|19170|67151|75430|26442|19177|229776|22194|23996|68999|26965|19192
Regulation of APC/C activators between G1/S and early anaphase	3.16085595979391e-05	0.000443106667056311	0.568851095866154	2.19019573555436	1	59	107995|12428|56150|12575|12534|66156|12236|18817|67141|68612|268697|56371|17463|26440|26444|19179|228769|26445|57296|19170|67151|75430|26442|19177|22194|23996|68999|26965|19192
Regulation of mitotic cell cycle	3.12153704484088e-05	0.000443106667056311	0.575417994621437	2.25797301231534	1	65	107995|12428|56150|20877|20878|12575|18005|12534|66156|12236|18817|67141|68612|268697|56371|17463|26440|26444|19179|228769|26445|57296|19170|67151|75430|26442|19177|229776|22194|23996|68999|26965|19192
DNA Double-Strand Break Repair	2.99701796712271e-05	0.000443106667056311	0.500896420815478	2.09352100610233	1	93	19361|12428|12649|15270|19363|69263|268465|12189|16647|237911|68240|269582|72151|66131|19362|106344|26909|17535|107823|327762|19891|27015|19687|225182|18972|55982|80905|107976|224008|69745|18538|235559|12144|50883|19364|14156|230674|18971|19718|11785
Homology Directed Repair	3.1278835176178e-05	0.000443106667056311	0.593521225307431	2.3216434315661	1	64	19361|12428|12649|19363|69263|268465|12189|237911|68240|269582|72151|66131|19362|106344|26909|17535|327762|19891|27015|19687|225182|18972|80905|224008|69745|18538|235559|12144|19364|14156|18971|19718
Orc1 removal from chromatin	3.19417382693966e-05	0.000443106667056311	0.594105267199798	2.2403401094712	1	53	12428|17219|12575|17215|23834|56452|56371|66634|17216|17218|17463|19645|26440|26444|19179|228769|26445|57296|19170|17220|50793|18392|67151|26442|19177
Switching of origins to a post-replicative state	3.19417382693966e-05	0.000443106667056311	0.594105267199798	2.2403401094712	1	53	12428|17219|12575|17215|23834|56452|56371|66634|17216|17218|17463|19645|26440|26444|19179|228769|26445|57296|19170|17220|50793|18392|67151|26442|19177
Interconversion of nucleotide di- and triphosphates	3.51704005908627e-05	0.000467981656841684	0.74319128004138	2.24833469885701	1	20	93692|20133|20135|110074|11639|18102|22166|14782|171567|320685|11636|50493|22171
Gluconeogenesis	3.47487664187921e-05	0.000467981656841684	0.720187430381356	2.25588739917305	1	23	11676|21991|18648|18563|18655|11674|13358|14751|14718|433182|74551|67863
Glucose metabolism	4.74758664345624e-05	0.000619085298306694	0.559132162902468	2.14569333238793	2	58	11676|21991|18648|18563|15277|18655|18746|56421|11674|18141|223921|18641|72787|26384|13358|14751|69736|269113|14718|15275|433182|74551
Intrinsic Pathway for Apoptosis	5.10786099807604e-05	0.000622203899653398	0.675861519390238	2.23400755264453	2	29	58801|12043|12367|14940|14942|12018|12125|14944|11783|22628|22627|14939|14941|14943|13063|19057|68097|12028
Telomere Maintenance	5.15322248179195e-05	0.000622203899653398	0.692831123762945	2.23340713499677	2	26	69263|68240|72151|18968|106344|327762|19891|19687|18973|16881|19075|19076|18972|59001|69745|18538|14156|18971|19718|18969
Extension of Telomeres	5.15322248179195e-05	0.000622203899653398	0.692831123762945	2.23340713499677	2	26	69263|68240|72151|18968|106344|327762|19891|19687|18973|16881|19075|19076|18972|59001|69745|18538|14156|18971|19718|18969
Homologous DNA Pairing and Strand Exchange	5.01563205323258e-05	0.000622203899653398	0.65264578402937	2.23725323706408	2	34	19361|12649|19363|69263|12189|237911|68240|72151|19362|106344|26909|17535|327762|19891|225182|235559|12144|19364
DNA Repair	5.46291364499256e-05	0.000647603581188209	0.396236588555857	1.83384560515967	3	185	19361|12428|12649|68026|15270|19363|69263|268465|12189|76843|67196|16647|237911|68240|269582|72151|58206|66131|19362|106344|26909|17535|107823|327762|211651|19891|27015|19687|22590|14885|16881|225182|26754|18972|55982|80905|107976|17420|224008|69745|18538|69928|237211|235559|72774|100040608|58186|12144|13194|22230|50883|19364|14156|268395|230674|217365|69833|18971|12848|66671|19718|11785|233875
Apoptosis	6.21774544550146e-05	0.000694105110082728	0.516309414536874	2.03718894748281	3	67	58801|14958|97165|22352|12043|14103|269582|227753|12367|13511|14940|14942|12018|12125|14944|11783|22628|22627|14939|14941|14943|13063|19057|68097|12028
Chromatin modifying enzymes	6.28101249921487e-05	0.000694105110082728	-0.395970607104783	-1.90930245847524	1	110	225888|69386|208266|59035|320595|20591|108155|193796|12443|20586|77853|226976|20588|68094|225876|213464|277250|13626|75605|76719|18193|77044|66262|235626|67773|192195|78783|216850|17978|54169|17977|19697|97114|77683|15077|18676|22290|66083|20592|69188|71371|214162|319162|69612|54343|67155|93760|244349|319190|74026|338523|231051|93871|75410
Chromatin organization	6.28101249921487e-05	0.000694105110082728	-0.395970607104783	-1.90930245847524	1	110	225888|69386|208266|59035|320595|20591|108155|193796|12443|20586|77853|226976|20588|68094|225876|213464|277250|13626|75605|76719|18193|77044|66262|235626|67773|192195|78783|216850|17978|54169|17977|19697|97114|77683|15077|18676|22290|66083|20592|69188|71371|214162|319162|69612|54343|67155|93760|244349|319190|74026|338523|231051|93871|75410
Programmed Cell Death	6.17865583342344e-05	0.000694105110082728	0.507913067566146	2.02942753100153	3	72	58801|14958|97165|22352|12043|74568|14103|269582|227753|12367|13511|14940|14942|12018|12125|14944|11783|22628|22627|14939|14941|14943|13063|19057|68097
Processing of DNA double-strand break ends	6.6608938919603e-05	0.000723817136259686	0.640542956427142	2.20960287319788	3	35	12428|12649|69263|12189|237911|68240|269582|72151|66131|106344|26909|17535|327762|19891|225182|235559|12144
Detoxification of Reactive Oxygen Species	6.97946293032751e-05	0.000746001611569432	0.697585617904369	2.16048196099571	3	22	50527|22166|14782|21672|12359|17970|66401|18453|13063|50493|69590|20656|17969|54683|67305
Recognition of DNA damage by PCNA-containing replication complex	0.000104246299256376	0.00109626753411544	0.695609011629272	2.17889890587893	5	23	69263|76843|68240|72151|58206|106344|19891|19687|18972|69745|18538|58186|13194|18971|19718|99375|230484|22190|67967|68275
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	0.000111484495691921	0.00115377605065289	0.547930436473519	2.08130966509811	6	55	107995|12428|56150|18005|12534|66156|12236|18817|68612|268697|17463|26440|26444|19179|228769|26445|57296|19170|67151|75430|26442|19177|22194|23996
Presynaptic phase of homologous DNA pairing and strand exchange	0.000117843133953974	0.00120052692715611	0.649224725302506	2.19597304052799	6	32	19361|12649|19363|69263|12189|237911|68240|72151|106344|26909|17535|327762|19891|225182|235559|12144|19364
Deposition of new CENPA-containing nucleosomes at the centromere	0.000121620682465772	0.00120146492375278	0.68852449533259	2.15670763959363	6	23	66336|66311|12615|60411|217653|26886|72155|66570|102920|70645|69928|67733|245688|66578|381280|56505
Nucleosome assembly	0.000121620682465772	0.00120146492375278	0.68852449533259	2.15670763959363	6	23	66336|66311|12615|60411|217653|26886|72155|66570|102920|70645|69928|67733|245688|66578|381280|56505
G2/M DNA damage checkpoint	0.000129132231404959	0.00124053308674884	0.562343580457657	2.08722057984658	7	49	12649|15270|69263|12189|12534|237911|22390|68240|72151|106344|26909|268697|17535|107823|327762|19891|22628|225182|22627|107976|235559|12144|50883|12532
Glycolysis	0.000129380751378714	0.00124053308674884	0.565636759393233	2.09098178080821	7	48	11676|21991|18648|15277|18655|18746|56421|11674|18141|223921|18641|72787|26384|14751|69736|269113|15275|433182
Resolution of AP sites via the multiple-nucleotide patch replacement pathway	0.000179555779002747	0.00164887842126466	0.742481436754735	2.12314619008287	9	16	69263|68240|72151|106344|19891|19687|16881|18972|69745|18538|14156|18971|19718
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	0.000176267927249419	0.00164887842126466	0.551713731040181	2.07208338970688	10	52	107995|12428|56150|18005|12534|66156|12236|68612|17463|26440|26444|19179|228769|26445|57296|19170|67151|75430|26442|19177|22194|23996|68999
PCNA-Dependent Long Patch Base Excision Repair	0.000179555779002747	0.00164887842126466	0.742481436754735	2.12314619008287	9	16	69263|68240|72151|106344|19891|19687|16881|18972|69745|18538|14156|18971|19718
Base Excision Repair	0.000190209403261227	0.00169885658803178	0.660806716039046	2.09183132700245	10	24	69263|68240|72151|106344|19891|19687|16881|18972|69745|18538|72774|14156|268395|18971|19718
Resolution of Abasic Sites (AP sites)	0.000190209403261227	0.00169885658803178	0.660806716039046	2.09183132700245	10	24	69263|68240|72151|106344|19891|19687|16881|18972|69745|18538|72774|14156|268395|18971|19718
Cyclin A/B1/B2 associated events during G2/M transition	0.000193437203249745	0.00170433860160586	0.698863112819168	2.11423119256064	10	20	12442|12428|19053|12534|22390|18817|268697|12531|17420|14235|12532|66671
APC/C:Cdc20 mediated degradation of mitotic proteins	0.000223492225663293	0.00193691703760038	0.536495715358193	2.0297377212479	13	54	107995|12428|56150|18005|12534|66156|12236|68612|268697|17463|26440|26444|19179|228769|26445|57296|19170|67151|75430|26442|19177|22194|23996|68999
Cellular responses to external stimuli	0.00022577560560986	0.00193691703760038	0.357276014170887	1.69316498040097	16	226	17750|112407|50527|14958|12571|12428|57436|17748|12580|12575|15251|17684|12448|66156|14056|68240|22166|17164|68612|14782|56371|17535|12567|19891|21672|66508|12359|17463|26399|17970|19645|26417|66401|22627|26440|18453|54170|26444|105787|494448|13063|102626|19179|12579|12608|50493|228769|26445|11835|68097|14229|57296|19170|17246|97287|68576|67151|16906|12447|75430|68942|26442|19177|245688|69590|20656|12343|17969|68953|54683|110147|245860
Cyclin D associated events in G1	0.00023972602739726	0.00200386371619248	0.646080263619092	2.10161163806274	13	27	12571|54124|13555|12580|12575|21781|242705|13557|12567|19645|12579|17420
G1 Phase	0.00023972602739726	0.00200386371619248	0.646080263619092	2.10161163806274	13	27	12571|54124|13555|12580|12575|21781|242705|13557|12567|19645|12579|17420
Gap-filling DNA repair synthesis and ligation in GG-NER	0.000251378090603846	0.00207466474776845	0.728970338425694	2.08451083097339	13	16	69263|68240|72151|106344|19891|27015|19687|18972|69745|18538|18971|19718
Nucleobase catabolism	0.000265064499028097	0.00216027566707899	0.707531737673288	2.11332074876539	14	19	12495|22271|22436|381101|18950|53893|23959|76952|56045|17766
Cdc20:Phospho-APC/C mediated degradation of Cyclin A	0.000289040545965476	0.00230015932660366	0.53798286857491	2.01308522418138	17	51	107995|12428|56150|12534|66156|12236|68612|17463|26440|26444|19179|228769|26445|57296|19170|67151|75430|26442|19177|22194|23996|68999|19192
Processive synthesis on the lagging strand	0.000289283841689418	0.00230015932660366	0.741784637660063	2.08436041277187	15	15	68240|18968|327762|19891|16881|19075|19076|18972|69745|18538|14156|18971|18969
Downstream signal transduction	0.000303129226320944	0.00238120789832838	-0.636272284178873	-2.12251252831486	12	21	74769|12928|20851|20850|16653|12929|17974|18706|20848|18708|17973|107746|20852|18803|20662
APC-Cdc20 mediated degradation of Nek2A	0.00031944912772641	0.00247953370568594	0.709745880040291	2.09156448384703	17	18	107995|56150|18005|66156|12236|68612
HDR through Single Strand Annealing (SSA)	0.000339000288150245	0.00257009520783674	0.62061616547068	2.06804298883621	19	30	19361|69263|12189|237911|68240|72151|106344|26909|17535|327762|19891|225182|235559|12144
Cyclin A:Cdk2-associated events at S phase entry	0.000336511497476164	0.00257009520783674	0.532414782969712	1.99960190612981	20	52	12428|54124|12575|12448|22390|56371|12567|17463|19645|26440|26444|19179|17420|228769|26445|57296|19170|67151|12447|26442|19177|66671|23996|26965|19192
